lex_ID,tip_label,Major_group_CB2018,PN_W_group,n_entries
200,WesternArrarnta,PN Western,_other,343
118,Badimaya,PN Western,Southwest,542
905,Malgana,PN Western,Southwest,294
534,Nhanta,PN Western,Southwest,602
1021,Wajarri,PN Western,Southwest,1161
767,Karajarri,PN Western,Marrngu-Wati,1748
642,MangalaMcK,PN Western,Marrngu-Wati,1229
507,Nyangumarta,PN Western,Marrngu-Wati,1545
618,Mirniny,PN Western,Southwest,380
1031,Ngadjumaya,PN Western,Southwest,828
851,Bilinarra,PN Western,Ngumpin-Yapa,1731
852,Gurindji,PN Western,Ngumpin-Yapa,4910
790,Jaru,PN Western,Ngumpin-Yapa,2160
606,Mudburra,PN Western,Ngumpin-Yapa,827
565,Ngarinyman,PN Western,Ngumpin-Yapa,1395
1019,WalmajarriHR,PN Western,Ngumpin-Yapa,3911
1024,Ngardily,PN Western,Ngumpin-Yapa,419
252,Warlmanpa,PN Western,Ngumpin-Yapa,890
242,Warlpiri,PN Western,Ngumpin-Yapa,4955
443,Payungu,PN Western,Pilbara,715
930,Purduna,PN Western,Pilbara,777
400,Thalanyji,PN Western,Pilbara,779
778,Jiwarli,PN Western,Pilbara,1236
1016,Tharrgari,PN Western,Pilbara,452
228,Warriyangga,PN Western,Pilbara,372
762,Kariyarra,PN Western,Pilbara,360
697,Kurrama,PN Western,Pilbara,808
1029,Martuthunira,PN Western,Pilbara,1011
563,Ngarla,PN Western,Pilbara,1342
554,Ngarluma,PN Western,Pilbara,876
917,Nyamal,PN Western,Pilbara,879
462,Panyjima,PN Western,Pilbara,484
417,Yindjibarndi,PN Western,Pilbara,779
914,Yinhawangka,PN Western,Pilbara,1182
162,Adnyamathanha,PN Western,_other,1720
519,Nukunu,PN Western,_other,358
117,Wirangu,PN Western,_other,528
760,Kartujarra,PN Western,Marrngu-Wati,818
113,Yulparija,PN Western,Marrngu-Wati,1797
288,Wangkatja,PN Western,Marrngu-Wati,2130
232,Warnman,PN Western,Marrngu-Wati,1007
734,Kukatja,PN Western,Marrngu-Wati,3370
957,Ngaanyatjarra,PN Western,Marrngu-Wati,1772
943,PintupiLuritja,PN Western,Marrngu-Wati,3729
